,caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn,Year,Month,Ground_Truth_Bull_and_Bear,Date,month_trend,ground_trend
0,19950214,0.001997,0.001806,0.001339,0.001199,3469337210.0,500,3463082310.0,500,482.55,0.001869,1995,199502,1,1995-02-14,0,0
1,19950215,0.004028,0.003934,0.005,0.004911,3482984690.0,500,3469337210.0,500,484.54,0.004124,1995,199502,1,1995-02-15,0,0
2,19950216,0.00119,0.00118,0.000293,0.00027,3487094870.0,500,3482984690.0,500,485.22,0.001403,1995,199502,1,1995-02-16,0,0
3,19950217,-0.005901,-0.006104,-0.003717,-0.003927,3465810740.0,500,3487094870.0,500,481.97,-0.006698000000000001,1995,199502,1,1995-02-17,0,0
4,19950221,0.001048,0.001006,0.0015,0.001424,3469296340.0,500,3465810740.0,500,482.72,0.001556,1995,199502,1,1995-02-21,0,0
5,19950222,0.005038,0.004909,0.002133,0.001936,3486325910.0,500,3469296340.0,500,485.07,0.004868,1995,199502,1,1995-02-22,0,0
6,19950223,0.004299,0.004069,0.004079999999999999,0.003772,3500512730.0,500,3486325910.0,500,486.91,0.003793,1995,199502,1,1995-02-23,0,0
7,19950224,0.00235,0.00231,0.00179,0.001743,3511572220.0,500,3502409390.0,500,488.26,0.002773,1995,199502,1,1995-02-24,0,0
8,19950227,-0.008373,-0.008582,-0.008631,-0.00892,3481436920.0,500,3511572220.0,500,483.81,-0.009114,1995,199502,1,1995-02-27,0,0
9,19950228,0.007354,0.007306999999999998,0.007798,0.007687,3506468620.0,500,3481436920.0,500,487.39,0.0074,1995,199502,1,1995-02-28,0,0
10,19950301,-0.0031550000000000003,-0.003447,-0.003903,-0.004078,3494383130.0,500,3506468620.0,500,485.65,-0.0035700000000000007,1995,199503,1,1995-03-01,0,0
11,19950302,-0.001141,-0.001178,-0.002268,-0.002345,3490268070.0,500,3494383130.0,500,485.13,-0.001071,1995,199503,1,1995-03-02,0,0
12,19950303,0.00086,0.000655,0.001181,0.001051,3492553420.0,500,3490268070.0,500,485.42,0.000598,1995,199503,1,1995-03-03,0,0
13,19950306,0.000108,-7.5e-05,-0.000958,-0.001251,3492289890.0,500,3492553420.0,500,485.63,0.000433,1995,199503,1,1995-03-06,0,0
14,19950307,-0.007095999999999998,-0.007147,-0.008603,-0.0087,3467328850.0,500,3492289890.0,500,482.12,-0.007228,1995,199503,1,1995-03-07,0,0
15,19950308,0.002206,0.002196,0.00223,0.002179,3474934950.0,500,3467328850.0,500,483.14,0.002116,1995,199503,1,1995-03-08,0,0
16,19950309,0.000638,0.000115,-0.00075,-0.000962,3475333980.0,500,3474934950.0,500,483.16,4.1e-05,1995,199503,1,1995-03-09,0,0
17,19950310,0.01345,0.013435,0.012604,0.012556,3522026260.0,500,3475333980.0,500,489.57,0.013267,1995,199503,1,1995-03-10,0,0
18,19950313,0.000654,0.000586,0.000848,0.000683,3524089460.0,500,3522026260.0,500,490.05,0.00098,1995,199503,1,1995-03-13,0,0
19,19950314,0.006261,0.006220000000000001,0.003697,0.003673,3546010490.0,500,3524089460.0,500,492.89,0.005795000000000001,1995,199503,1,1995-03-14,0,0
20,19950315,-0.001824,-0.001882,-0.001539,-0.001561,3539338580.0,500,3546010490.0,500,491.88,-0.002049,1995,199503,1,1995-03-15,0,0
